wavelength, flux 
380.000,  0.119 
380.100,  0.374 
380.200,  0.339 
380.300,  0.497 
380.400,  0.521 
380.500,  0.296 
380.600,  0.317 
380.700,  0.107 
380.800,  0.309 
380.900,  0.347 
381.000,  0.510 
381.100,  0.364 
381.200,  0.361 
381.300,  0.176 
381.400,  0.219 
381.500,  0.126 
381.600,  0.063 
381.700,  0.189 
381.800,  0.161 
381.900,  0.178 
382.000,  0.033 
382.100,  0.066 
382.200,  0.105 
382.300,  0.125 
382.400,  0.099 
382.500,  0.095 
382.600,  0.065 
382.700,  0.133 
382.800,  0.072 
382.900,  0.101 
383.000,  0.149 
383.100,  0.130 
383.200,  0.077 
383.300,  0.085 
383.400,  0.098 
383.500,  0.145 
383.600,  0.157 
383.700,  0.190 
383.800,  0.090 
383.900,  0.089 
384.000,  0.090 
384.100,  0.077 
384.200,  0.192 
384.300,  0.190 
384.400,  0.273 
384.500,  0.263 
384.600,  0.291 
384.700,  0.238 
384.800,  0.304 
384.900,  0.201 
385.000,  0.108 
385.100,  0.222 
385.200,  0.221 
385.300,  0.220 
385.400,  0.185 
385.500,  0.155 
385.600,  0.031 
385.700,  0.060 
385.800,  0.072 
385.900,  0.098 
386.000,  0.035 
386.100,  0.097 
386.200,  0.142 
386.300,  0.203 
386.400,  0.128 
386.500,  0.169 
386.600,  0.131 
386.700,  0.192 
386.800,  0.175 
386.900,  0.242 
387.000,  0.196 
387.100,  0.188 
387.200,  0.150 
387.300,  0.150 
387.400,  0.248 
387.500,  0.178 
387.600,  0.206 
387.700,  0.200 
387.800,  0.072 
387.900,  0.081 
388.000,  0.136 
388.100,  0.185 
388.200,  0.197 
388.300,  0.174 
388.400,  0.204 
388.500,  0.139 
388.600,  0.034 
388.700,  0.070 
388.800,  0.085 
388.900,  0.132 
389.000,  0.218 
389.100,  0.283 
389.200,  0.457 
389.300,  0.227 
389.400,  0.239 
389.500,  0.118 
389.600,  0.090 
389.700,  0.227 
389.800,  0.124 
389.900,  0.137 
390.000,  0.074 
390.100,  0.172 
390.200,  0.238 
390.300,  0.154 
390.400,  0.236 
390.500,  0.193 
390.600,  0.112 
390.700,  0.168 
390.800,  0.380 
390.900,  0.401 
391.000,  0.404 
391.100,  0.378 
391.200,  0.377 
391.300,  0.389 
391.400,  0.330 
391.500,  0.465 
391.600,  0.305 
391.700,  0.207 
391.800,  0.280 
391.900,  0.178 
392.000,  0.075 
392.100,  0.133 
392.200,  0.134 
392.300,  0.073 
392.400,  0.143 
392.500,  0.166 
392.600,  0.181 
392.700,  0.141 
392.800,  0.120 
392.900,  0.072 
393.000,  0.031 
393.100,  0.083 
393.200,  0.083 
393.300, -0.004 
393.400,  0.020 
393.500,  0.032 
393.600,  0.108 
393.700,  0.099 
393.800,  0.107 
393.900,  0.186 
394.000,  0.155 
394.100,  0.116 
394.200,  0.148 
394.300,  0.093 
394.400,  0.053 
394.500,  0.071 
394.600,  0.209 
394.700,  0.227 
394.800,  0.170 
394.900,  0.225 
395.000,  0.258 
395.100,  0.376 
395.200,  0.357 
395.300,  0.235 
395.400,  0.441 
395.500,  0.332 
395.600,  0.190 
395.700,  0.133 
395.800,  0.146 
395.900,  0.212 
396.000,  0.141 
396.100,  0.076 
396.200,  0.057 
396.300,  0.106 
396.400,  0.130 
396.500,  0.098 
396.600,  0.078 
396.700,  0.080 
396.800,  0.009 
396.900,  0.047 
397.000,  0.084 
397.100,  0.114 
397.200,  0.146 
397.300,  0.160 
397.400,  0.205 
397.500,  0.220 
397.600,  0.284 
397.700,  0.230 
397.800,  0.317 
397.900,  0.368 
398.000,  0.485 
398.100,  0.311 
398.200,  0.167 
398.300,  0.375 
398.400,  0.332 
398.500,  0.413 
398.600,  0.494 
398.700,  0.407 
398.800,  0.662 
398.900,  0.473 
399.000,  0.140 
399.100,  0.466 
399.200,  0.507 
399.300,  0.585 
399.400,  0.374 
399.500,  0.346 
399.600,  0.540 
399.700,  0.313 
399.800,  0.286 
399.900,  0.271 
400.000,  0.575 
400.100,  0.643 
400.200,  0.555 
400.300,  0.542 
400.400,  0.497 
400.500,  0.197 
400.600,  0.315 
400.700,  0.435 
400.800,  0.723 
400.900,  0.461 
401.000,  0.407 
401.100,  0.559 
401.200,  0.398 
401.300,  0.698 
401.400,  0.493 
401.500,  0.541 
401.600,  0.629 
401.700,  0.620 
401.800,  0.498 
401.900,  0.677 
402.000,  0.558 
402.100,  0.649 
402.200,  0.397 
402.300,  0.624 
402.400,  0.346 
402.500,  0.253 
402.600,  0.471 
402.700,  0.489 
402.800,  0.582 
402.900,  0.455 
403.000,  0.165 
403.100,  0.094 
403.200,  0.152 
403.300,  0.068 
403.400,  0.117 
403.500,  0.148 
403.600,  0.288 
403.700,  0.502 
403.800,  0.604 
403.900,  0.513 
404.000,  0.570 
404.100,  0.334 
404.200,  0.398 
404.300,  0.462 
404.400,  0.232 
404.500,  0.150 
404.600,  0.101 
404.700,  0.163 
404.800,  0.352 
404.900,  0.349 
405.000,  0.548 
405.100,  0.550 
405.200,  0.516 
405.300,  0.534 
405.400,  0.598 
405.500,  0.318 
405.600,  0.580 
405.700,  0.471 
405.800,  0.299 
405.900,  0.358 
406.000,  0.454 
406.100,  0.485 
406.200,  0.321 
406.300,  0.096 
406.400,  0.089 
406.500,  0.249 
406.600,  0.434 
406.700,  0.274 
406.800,  0.376 
406.900,  0.464 
407.000,  0.406 
407.100,  0.185 
407.200,  0.143 
407.300,  0.369 
407.400,  0.462 
407.500,  0.392 
407.600,  0.431 
407.700,  0.220 
407.800,  0.275 
407.900,  0.412 
408.000,  0.430 
408.100,  0.680 
408.200,  0.543 
408.300,  0.417 
408.400,  0.359 
408.500,  0.374 
408.600,  0.659 
408.700,  0.624 
408.800,  0.762 
408.900,  0.733 
409.000,  0.568 
409.100,  0.585 
409.200,  0.632 
409.300,  0.599 
409.400,  0.685 
409.500,  0.405 
409.600,  0.212 
409.700,  0.391 
409.800,  0.430 
409.900,  0.508 
410.000,  0.321 
410.100,  0.316 
410.200,  0.292 
410.300,  0.389 
410.400,  0.423 
410.500,  0.355 
410.600,  0.526 
410.700,  0.430 
410.800,  0.357 
410.900,  0.481 
411.000,  0.454 
411.100,  0.378 
411.200,  0.232 
411.300,  0.449 
411.400,  0.347 
411.500,  0.300 
411.600,  0.389 
411.700,  0.482 
411.800,  0.364 
411.900,  0.266 
412.000,  0.436 
412.100,  0.457 
412.200,  0.495 
412.300,  0.384 
412.400,  0.514 
412.500,  0.661 
412.600,  0.489 
412.700,  0.524 
412.800,  0.238 
412.900,  0.450 
413.000,  0.387 
413.100,  0.255 
413.200,  0.141 
413.300,  0.278 
413.400,  0.259 
413.500,  0.367 
413.600,  0.473 
413.700,  0.302 
413.800,  0.354 
413.900,  0.531 
414.000,  0.390 
414.100,  0.468 
414.200,  0.185 
414.300,  0.106 
414.400,  0.120 
414.500,  0.255 
414.600,  0.367 
414.700,  0.458 
414.800,  0.361 
414.900,  0.471 
415.000,  0.322 
415.100,  0.457 
415.200,  0.406 
415.300,  0.493 
415.400,  0.300 
415.500,  0.345 
415.600,  0.465 
415.700,  0.274 
415.800,  0.406 
415.900,  0.569 
416.000,  0.414 
416.100,  0.546 
416.200,  0.340 
416.300,  0.547 
416.400,  0.424 
416.500,  0.240 
416.600,  0.437 
416.700,  0.284 
416.800,  0.387 
416.900,  0.420 
417.000,  0.345 
417.100,  0.351 
417.200,  0.126 
417.300,  0.270 
417.400,  0.290 
417.500,  0.245 
417.600,  0.275 
417.700,  0.422 
417.800,  0.335 
417.900,  0.460 
418.000,  0.465 
418.100,  0.385 
418.200,  0.328 
