Galaxy,M_bh,sigma,sigma_err,M_bh_err
MW,2950000.0,100,20,349999.99999999
I1459,459999999.99999994,312,41,279999999.99999994
N221,3900000.0,76,10,899999.99999999
N3115,920000000.0,278,36,300000000.00000006
N3379,135000000.0,201,26,72999999.99999997
N4258,39000000.0,138,18,3399999.9999999898
N4261,540000000.0,290,38,119999999.99999996
N4342,330000000.0,261,34,190000000.0
N4374,1700000000.0,286,37,1200000000.0
N4486,3570000000.0000005,345,45,1019999999.9999992
N6251,590000000.0,297,39,200000000.0
N7052,370000000.0,261,34,260000000.0
N821,51000000.0,196,26,19999999.99999999
N224,35000000.0,112,15,25000000.0
N1023,39000000.0,201,14,10999999.99999999
N1068,17000000.0,149,19,12999999.999999989
N2778,20000000.0,171,22,16000000.0
N3377,103000000.0,131,17,160000000.0
N3384,18500000.0,151,20,9100000.0
N3608,113000000.0,206,27,144000000.0
N4291,154000000.0,269,35,309999999.99999994
N4473,102600000.0,188,25,81999999.99999997
N4564,56999999.99999999,153,20,16999999.999999978
N4649,2060000000.0,331,43,1019999999.9999999
N4697,122000000.0,163,21,39999999.99999999
N5845,352000000.0,275,36,199999999.9999999
N7457,3500000.0000000005,73,10,2699999.9999999898
