wavelength, flux 
380.000,  0.416 
380.100,  0.501 
380.200,  0.544 
380.300,  0.618 
380.400,  0.721 
380.500,  0.737 
380.600,  0.809 
380.700,  0.866 
380.800,  0.908 
380.900,  0.955 
381.000,  1.002 
381.100,  1.024 
381.200,  0.994 
381.300,  1.016 
381.400,  0.974 
381.500,  0.994 
381.600,  0.990 
381.700,  1.015 
381.800,  0.995 
381.900,  0.997 
382.000,  0.930 
382.100,  0.970 
382.200,  0.927 
382.300,  0.961 
382.400,  0.847 
382.500,  0.807 
382.600,  0.739 
382.700,  0.761 
382.800,  0.709 
382.900,  0.614 
383.000,  0.625 
383.100,  0.541 
383.200,  0.477 
383.300,  0.394 
383.400,  0.345 
383.500,  0.248 
383.600,  0.230 
383.700,  0.352 
383.800,  0.356 
383.900,  0.451 
384.000,  0.534 
384.100,  0.643 
384.200,  0.675 
384.300,  0.727 
384.400,  0.770 
384.500,  0.775 
384.600,  0.822 
384.700,  0.874 
384.800,  0.883 
384.900,  0.928 
385.000,  0.840 
385.100,  0.921 
385.200,  0.986 
385.300,  0.970 
385.400,  0.932 
385.500,  1.006 
385.600,  0.884 
385.700,  1.001 
385.800,  0.957 
385.900,  0.987 
386.000,  0.925 
386.100,  0.996 
386.200,  0.986 
386.300,  0.873 
386.400,  0.960 
386.500,  0.956 
386.600,  0.939 
386.700,  0.956 
386.800,  0.965 
386.900,  0.946 
387.000,  0.946 
387.100,  0.933 
387.200,  0.917 
387.300,  0.855 
387.400,  0.889 
387.500,  0.869 
387.600,  0.835 
387.700,  0.870 
387.800,  0.743 
387.900,  0.711 
388.000,  0.749 
388.100,  0.660 
388.200,  0.622 
388.300,  0.572 
388.400,  0.537 
388.500,  0.464 
388.600,  0.369 
388.700,  0.328 
388.800,  0.285 
388.900,  0.176 
389.000,  0.251 
389.100,  0.328 
389.200,  0.383 
389.300,  0.445 
389.400,  0.507 
389.500,  0.550 
389.600,  0.607 
389.700,  0.659 
389.800,  0.695 
389.900,  0.766 
390.000,  0.762 
390.100,  0.737 
390.200,  0.813 
390.300,  0.815 
390.400,  0.854 
390.500,  0.872 
390.600,  0.858 
390.700,  0.929 
390.800,  0.916 
390.900,  0.928 
391.000,  0.964 
391.100,  0.952 
391.200,  0.965 
391.300,  0.945 
391.400,  0.965 
391.500,  0.961 
391.600,  0.967 
391.700,  0.980 
391.800,  0.996 
391.900,  0.964 
392.000,  0.939 
392.100,  0.979 
392.200,  1.021 
392.300,  0.969 
392.400,  1.002 
392.500,  0.998 
392.600,  1.008 
392.700,  1.002 
392.800,  1.009 
392.900,  0.981 
393.000,  0.958 
393.100,  0.993 
393.200,  0.960 
393.300,  0.993 
393.400,  0.825 
393.500,  1.000 
393.600,  0.967 
393.700,  1.005 
393.800,  0.908 
393.900,  0.936 
394.000,  1.010 
394.100,  0.979 
394.200,  0.978 
394.300,  0.954 
394.400,  0.887 
394.500,  0.944 
394.600,  0.951 
394.700,  0.925 
394.800,  0.911 
394.900,  0.941 
395.000,  0.929 
395.100,  0.913 
395.200,  0.925 
395.300,  0.912 
395.400,  0.908 
395.500,  0.877 
395.600,  0.841 
395.700,  0.815 
395.800,  0.786 
395.900,  0.731 
396.000,  0.715 
396.100,  0.697 
396.200,  0.617 
396.300,  0.590 
396.400,  0.571 
396.500,  0.511 
396.600,  0.439 
396.700,  0.380 
396.800,  0.288 
396.900,  0.284 
397.000,  0.218 
397.100,  0.298 
397.200,  0.336 
397.300,  0.378 
397.400,  0.444 
397.500,  0.456 
397.600,  0.513 
397.700,  0.614 
397.800,  0.612 
397.900,  0.664 
398.000,  0.716 
398.100,  0.765 
398.200,  0.779 
398.300,  0.768 
398.400,  0.837 
398.500,  0.880 
398.600,  0.876 
398.700,  0.859 
398.800,  0.904 
398.900,  0.927 
399.000,  0.934 
399.100,  0.901 
399.200,  0.896 
399.300,  0.946 
399.400,  0.921 
399.500,  0.940 
399.600,  0.975 
399.700,  0.941 
399.800,  0.932 
399.900,  0.952 
400.000,  0.991 
400.100,  0.973 
400.200,  0.893 
400.300,  0.928 
400.400,  0.969 
400.500,  0.897 
400.600,  1.002 
400.700,  1.023 
400.800,  1.002 
400.900,  1.002 
401.000,  0.957 
401.100,  0.959 
401.200,  0.954 
401.300,  0.978 
401.400,  0.998 
401.500,  0.971 
401.600,  0.995 
401.700,  1.007 
401.800,  0.982 
401.900,  0.989 
402.000,  0.988 
402.100,  0.986 
402.200,  1.004 
402.300,  1.000 
402.400,  0.976 
402.500,  0.950 
402.600,  1.013 
402.700,  0.977 
402.800,  0.958 
402.900,  0.983 
403.000,  1.009 
403.100,  0.954 
403.200,  0.977 
403.300,  0.976 
403.400,  1.022 
403.500,  1.000 
403.600,  0.953 
403.700,  1.014 
403.800,  0.986 
403.900,  0.997 
404.000,  1.007 
404.100,  0.954 
404.200,  1.003 
404.300,  1.002 
404.400,  0.997 
404.500,  0.982 
404.600,  0.966 
404.700,  0.999 
404.800,  1.009 
404.900,  0.953 
405.000,  0.997 
405.100,  0.966 
405.200,  0.969 
405.300,  0.983 
405.400,  0.951 
405.500,  1.014 
405.600,  1.002 
405.700,  0.976 
405.800,  1.002 
405.900,  0.985 
406.000,  1.015 
406.100,  0.999 
406.200,  0.961 
406.300,  0.972 
406.400,  0.929 
406.500,  1.004 
406.600,  0.987 
406.700,  0.913 
406.800,  0.969 
406.900,  0.970 
407.000,  0.974 
407.100,  0.937 
407.200,  0.924 
407.300,  0.921 
407.400,  0.942 
407.500,  0.944 
407.600,  0.985 
407.700,  0.878 
407.800,  0.871 
407.900,  0.940 
408.000,  0.909 
408.100,  0.933 
408.200,  0.918 
408.300,  0.895 
408.400,  0.887 
408.500,  0.815 
408.600,  0.859 
408.700,  0.872 
408.800,  0.799 
408.900,  0.807 
409.000,  0.752 
409.100,  0.726 
409.200,  0.655 
409.300,  0.653 
409.400,  0.636 
409.500,  0.535 
409.600,  0.562 
409.700,  0.497 
409.800,  0.423 
409.900,  0.408 
410.000,  0.343 
410.100,  0.299 
410.200,  0.231 
410.300,  0.307 
410.400,  0.342 
410.500,  0.425 
410.600,  0.427 
410.700,  0.503 
410.800,  0.569 
410.900,  0.575 
411.000,  0.621 
411.100,  0.668 
411.200,  0.712 
411.300,  0.739 
411.400,  0.797 
411.500,  0.799 
411.600,  0.841 
411.700,  0.828 
411.800,  0.858 
411.900,  0.887 
412.000,  0.892 
412.100,  0.897 
412.200,  0.961 
412.300,  0.918 
412.400,  0.931 
412.500,  0.926 
412.600,  0.940 
412.700,  0.943 
412.800,  0.890 
412.900,  0.922 
413.000,  0.966 
413.100,  0.918 
413.200,  0.950 
413.300,  0.978 
413.400,  0.967 
413.500,  0.972 
413.600,  0.992 
413.700,  0.977 
413.800,  0.978 
413.900,  1.001 
414.000,  0.980 
414.100,  0.949 
414.200,  0.959 
414.300,  0.991 
414.400,  0.986 
414.500,  0.970 
414.600,  0.992 
414.700,  1.020 
414.800,  0.977 
414.900,  1.046 
415.000,  1.016 
415.100,  0.989 
415.200,  0.978 
415.300,  0.977 
415.400,  0.984 
415.500,  0.996 
415.600,  1.008 
415.700,  0.977 
415.800,  0.972 
415.900,  0.993 
416.000,  1.027 
416.100,  0.998 
416.200,  0.996 
416.300,  1.014 
416.400,  0.949 
416.500,  0.997 
416.600,  1.018 
416.700,  0.964 
416.800,  1.021 
416.900,  0.985 
417.000,  0.962 
417.100,  1.014 
417.200,  0.917 
417.300,  0.950 
417.400,  0.945 
417.500,  0.987 
417.600,  0.974 
417.700,  0.988 
417.800,  0.945 
417.900,  0.975 
418.000,  1.041 
418.100,  1.000 
418.200,  0.986 
418.300,  1.033 
418.400,  1.020 
418.500,  0.989 
418.600,  0.994 
418.700,  0.978 
418.800,  1.045 
418.900,  1.018 
419.000,  0.993 
419.100,  1.011 
419.200,  0.987 
419.300,  1.012 
419.400,  0.992 
419.500,  0.949 
419.600,  1.003 
419.700,  0.992 
419.800,  0.996 
419.900,  0.959 
420.000,  0.985 
420.100,  1.006 
420.200,  0.955 
420.300,  1.022 
420.400,  1.013 
420.500,  0.987 
420.600,  1.005 
420.700,  0.992 
420.800,  0.965 
420.900,  0.991 
421.000,  1.008 
421.100,  1.014 
421.200,  0.995 
421.300,  0.980 
421.400,  1.006 
421.500,  1.020 
421.600,  0.959 
421.700,  1.008 
421.800,  0.989 
421.900,  0.949 
422.000,  0.988 
422.100,  1.020 
422.200,  1.002 
422.300,  0.985 
422.400,  0.988 
422.500,  0.994 
422.600,  0.989 
422.700,  0.929 
422.800,  1.006 
422.900,  0.990 
423.000,  0.988 
423.100,  1.016 
423.200,  0.989 
423.300,  0.928 
423.400,  1.026 
423.500,  1.015 
423.600,  0.940 
423.700,  0.992 
423.800,  0.932 
423.900,  0.968 
424.000,  1.009 
424.100,  0.980 
424.200,  0.930 
424.300,  1.009 
424.400,  1.018 
424.500,  1.015 
424.600,  1.013 
424.700,  0.921 
424.800,  1.011 
424.900,  0.977 
425.000,  0.986 
425.100,  0.982 
425.200,  0.981 
425.300,  0.947 
425.400,  0.976 
425.500,  1.008 
425.600,  0.999 
425.700,  0.976 
425.800,  0.963 
425.900,  0.970 
426.000,  0.976 
426.100,  0.957 
426.200,  1.001 
426.300,  0.994 
426.400,  0.957 
426.500,  0.984 
426.600,  0.994 
426.700,  0.990 
426.800,  0.982 
426.900,  0.983 
427.000,  0.991 
427.100,  0.964 
427.200,  0.944 
427.300,  0.965 
427.400,  0.984 
427.500,  1.021 
427.600,  0.975 
427.700,  1.024 
427.800,  0.974 
427.900,  0.940 
428.000,  1.047 
428.100,  0.991 
428.200,  0.976 
428.300,  0.972 
428.400,  0.989 
428.500,  0.983 
428.600,  1.009 
428.700,  1.016 
428.800,  0.986 
428.900,  0.978 
429.000,  0.912 
429.100,  0.931 
429.200,  0.976 
429.300,  0.995 
429.400,  0.930 
429.500,  0.984 
429.600,  0.982 
429.700,  0.950 
429.800,  1.004 
429.900,  0.943 
430.000,  0.935 
430.100,  0.993 
430.200,  0.948 
430.300,  0.897 
430.400,  0.977 
430.500,  0.973 
430.600,  0.984 
430.700,  0.945 
430.800,  0.900 
430.900,  0.948 
431.000,  0.990 
431.100,  0.988 
431.200,  0.985 
431.300,  0.869 
431.400,  0.892 
431.500,  0.876 
431.600,  0.885 
431.700,  0.896 
431.800,  0.918 
