wavelength, flux 
380.000,  0.457 
380.100,  0.610 
380.200,  0.452 
380.300,  0.672 
380.400,  0.718 
380.500,  0.506 
380.600,  0.568 
380.700,  0.351 
380.800,  0.589 
380.900,  0.644 
381.000,  0.753 
381.100,  0.592 
381.200,  0.657 
381.300,  0.598 
381.400,  0.546 
381.500,  0.460 
381.600,  0.244 
381.700,  0.660 
381.800,  0.470 
381.900,  0.619 
382.000,  0.269 
382.100,  0.295 
382.200,  0.436 
382.300,  0.577 
382.400,  0.303 
382.500,  0.317 
382.600,  0.212 
382.700,  0.470 
382.800,  0.289 
382.900,  0.313 
383.000,  0.416 
383.100,  0.498 
383.200,  0.199 
383.300,  0.270 
383.400,  0.180 
383.500,  0.304 
383.600,  0.338 
383.700,  0.386 
383.800,  0.204 
383.900,  0.324 
384.000,  0.360 
384.100,  0.251 
384.200,  0.554 
384.300,  0.473 
384.400,  0.484 
384.500,  0.569 
384.600,  0.571 
384.700,  0.530 
384.800,  0.664 
384.900,  0.547 
385.000,  0.335 
385.100,  0.570 
385.200,  0.603 
385.300,  0.581 
385.400,  0.514 
385.500,  0.527 
385.600,  0.300 
385.700,  0.524 
385.800,  0.389 
385.900,  0.298 
386.000,  0.186 
386.100,  0.375 
386.200,  0.570 
386.300,  0.495 
386.400,  0.552 
386.500,  0.494 
386.600,  0.472 
386.700,  0.390 
386.800,  0.423 
386.900,  0.428 
387.000,  0.429 
387.100,  0.272 
387.200,  0.354 
387.300,  0.427 
387.400,  0.547 
387.500,  0.534 
387.600,  0.623 
387.700,  0.563 
387.800,  0.317 
387.900,  0.346 
388.000,  0.440 
388.100,  0.523 
388.200,  0.389 
388.300,  0.257 
388.400,  0.634 
388.500,  0.553 
388.600,  0.241 
388.700,  0.382 
388.800,  0.476 
388.900,  0.287 
389.000,  0.448 
389.100,  0.485 
389.200,  0.578 
389.300,  0.429 
389.400,  0.596 
389.500,  0.496 
389.600,  0.402 
389.700,  0.763 
389.800,  0.488 
389.900,  0.656 
390.000,  0.475 
390.100,  0.726 
390.200,  0.574 
390.300,  0.426 
390.400,  0.515 
390.500,  0.534 
390.600,  0.438 
390.700,  0.491 
390.800,  0.659 
390.900,  0.656 
391.000,  0.602 
391.100,  0.587 
391.200,  0.696 
391.300,  0.689 
391.400,  0.519 
391.500,  0.730 
391.600,  0.517 
391.700,  0.667 
391.800,  0.580 
391.900,  0.476 
392.000,  0.434 
392.100,  0.389 
392.200,  0.513 
392.300,  0.350 
392.400,  0.596 
392.500,  0.505 
392.600,  0.402 
392.700,  0.459 
392.800,  0.225 
392.900,  0.280 
393.000,  0.226 
393.100,  0.251 
393.200,  0.158 
393.300,  0.094 
393.400,  0.122 
393.500,  0.189 
393.600,  0.178 
393.700,  0.218 
393.800,  0.250 
393.900,  0.377 
394.000,  0.432 
394.100,  0.416 
394.200,  0.476 
394.300,  0.490 
394.400,  0.300 
394.500,  0.454 
394.600,  0.722 
394.700,  0.573 
394.800,  0.495 
394.900,  0.533 
395.000,  0.530 
395.100,  0.664 
395.200,  0.663 
395.300,  0.437 
395.400,  0.747 
395.500,  0.679 
395.600,  0.606 
395.700,  0.487 
395.800,  0.629 
395.900,  0.740 
396.000,  0.635 
396.100,  0.453 
396.200,  0.338 
396.300,  0.393 
396.400,  0.387 
396.500,  0.249 
396.600,  0.177 
396.700,  0.232 
396.800,  0.126 
396.900,  0.093 
397.000,  0.154 
397.100,  0.286 
397.200,  0.321 
397.300,  0.421 
397.400,  0.329 
397.500,  0.453 
397.600,  0.503 
397.700,  0.523 
397.800,  0.554 
397.900,  0.656 
398.000,  0.712 
398.100,  0.708 
398.200,  0.554 
398.300,  0.611 
398.400,  0.638 
398.500,  0.610 
398.600,  0.719 
398.700,  0.578 
398.800,  0.837 
398.900,  0.815 
399.000,  0.619 
399.100,  0.754 
399.200,  0.765 
399.300,  0.849 
399.400,  0.634 
399.500,  0.572 
399.600,  0.722 
399.700,  0.590 
399.800,  0.759 
399.900,  0.577 
400.000,  0.827 
400.100,  0.784 
400.200,  0.752 
400.300,  0.759 
400.400,  0.774 
400.500,  0.480 
400.600,  0.686 
400.700,  0.621 
